SubjectID	Sex	Ethnicity	Age	Raised	Nearest city	II.1	II.2	II.3	II.3a	II.3b	II.4	II.5	II.5a	II.6	II.7	III.1	III.2	III.3	III.4	III.5	III.6	III.7	III.8	III.9	III.10
1	f	white	27	Troy, MI	Detroit	f	p	s	na	s	d	2	frosting is store bought	b	d	n	y	n	n	n	y	n	n	y	n
2	m	white	23	South Carolina	Myrtle Beach	f	s	z (h)	no	s	w	i	n/a	b	s	n	y	n	y	n	y	n	n	y	n
3	f	white	21	Apollo,pA	Pittsburgh	l	p	z (h)	both are the same	h	w	2	icing is for decorating/writing and frosting is to cover a solid area with a single color	b	s	y	y	y	y	n	y	n	y	y	n
4	m	black	20	Tucson, AZ	Phoenix	f	f	z (g)	no	s	d	2	Frosting is lighter/fluffier	b	d	y	y	n	y	n	y	n	n	y	n
5	m	white	20	Bethpage, TN	Nashville	l	2 (f,c)	s	n/a	s	w	2	Icing is used when it is on a cake. Frosting is what it is called before it's on the cake.	b	d	y	y	y	y	y	y	n	y	y	y
6	m	white	20	Richwood,oH	Columbus	l	p	s	no	s	d	2	no	b	s	y	y	n	y	y	y	n	y	y	n
7	m	white	50	Bellingham,wA	Seattle	f	s	z (r)	no	s	d	2	yes, icing is thin,usually sugar and water,frosting is thick,for example buttercream	b	d	y	y	n	n	n	y	n	n	y	n
8	f	white	25	Alabama	Birmingham	f	2 (s,c)	s	na	s	w	i	na	b	d	n	y	n	n	n	y	n	y	n	y
9	m	white	20	Paramus, New Jersey	New York City	f	s	s	n/a	s	w	i	n/a	b	d	n	y	n	y	y	y	n	n	y	n
10	m	white	23	St. Pete,fL	Tampa	f	s	z (h)	n/a	s	w	2	no	b	d	n	y	y	y	n	n	n	n	y	n
11	f	asian	20	New Orleans, LA	Houston, TX	f	c	p	n/a	p	w	2	no	b	d	y	y	y	y	n	y	n	n	y	n
12	f	white	29	Ashland,oR	Portland	f	s	z (r)	both are cold	s	w	f	n/a	b	d	y	y	n	y	n	y	n	n	y	n
13	m	white	20	Western Springs, IL	Chicago	l	s	s	n/a	s	d	2	frosting is heavier than icing	b	d	y	y	n	y	n	n	n	n	y	n
14	f	middle-eastern	18	North Brunswick, NJ	New York City	f	f	z (h)	n/a	sandwich	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
15	f	white	24	California	San Francisco	f	s	s	n/a	s	w	2	no	b	d	y	y	n	y	n	y	n	n	y	n
16	f	White	19	Plantation,florida	Miami	f	s	s		s	w	f	n/a	b	d	y	y	y	n	n	y	n	n	y	n
17	m	Chinese	19	Brooklyn, New York. Littest place there is.	New York City	f	s	z (r,h)	Sub is more like a Subways thing,hoagie has some distinct Italian tied to it as does a hero.	s	w	i	n/a	b	d	y	n	y	y	n	y	n	n	y	n
18	m	White	20	Eugene,oR	Portland (or Seattle if they didn't know Portland)	f	s	s		s	w	i	Frosting is thick and creamy. Icing is thin and more sugary.	b	d	y	y	y	y	n	y	n	n	y	n
19	m	White	19	Lexington, KY	Cincinnati	2	s	s		s	w	i	n/a	b	d	y	y	n	y	n	y	n	n	y	n
20	f	Caucasian	19	Amesbury, MA	Boston	f	s	s		s	w	2	Icing is more detailed. Frosting is one fellow swoop of frosting	b	d	y	n	y	y	n	y	n	n	y	n
21	m	White-Italian	20	Queens, New York City	New York City	l	s	z (r )	Not really	r	w	i	n/a	b	d	n	n	y	y	n	n	n	n	y	n
22	m	Asian	20	New Hampshire	boston	f	s	s		s	w	2	Not to me	b	d	y	n	y	n	n	y	n	n	n	n
23	m	White	20	East Setauket, New York (Long Island)	New York City	f	s	r		r	w	2	No	b	d	n	n	y	y	n	n	n	n	n	n
24	m	White	19	Middletown, NJ	New York	2	s	z (r )	No major difference	s	w	i	n/a	p	d	y	n	y	y	n	y	n	n	n	n
25	f	Asian	19	Norwood,pA	Philadelphia,pA	2	s	2	A hoagie is cold and a grinder is hot	h	w	i	n/a	b	2	n	n	y	y	n	n	y	n	n	n
26	f	White	19	Media,pennsylvania	Philadelphia	l	s	h		h	w	2	Not really,but I would differentiate thicker cake frosting from like thinner cinnamon bun icing.	b	d	n	y	y	y	n	n	n	n	y	n
27	m	South Asian	20	New York City	New York City	f	2	s		s	w	2	Frosting is the writing, icing is the other decorations	b	d	y	y	y	y	n	y	y	n	y	n
28	m	White	20	avon CT	Between New York and Boston	f	s	z (g)	Grinder-hot Sub-cold	g	w	2	Icing-clear/lettering Frosting-white/covers whole cake	b	d	y	y	y	y	n	n	n	n	y	n
29	m	White	20	Moosic,pennsylvania	Scranton	f	s	z (h)		h	w	i	n/a	b	d	y	y	y	y	n	y	n	n	y	n
30	m	White	20	Memphis, Tennessee	Memphis	l	3	z (p,h)	Po'boys are hot; subs are cold.	s	w	i	No	b	d	y	y	n	y	y	n	n	n	y	n
31	m	Caucasian	42	West Des Moines, Iowa and Baton Rouge, Louisiana	Des Moines, IA and New Orleans, LA	f	c	z (p)	Poboys are served on french bread,while sub can be any long bread. Poboys are typically served hot.	Po'boy	w	2 (f,i)	I usually refer to frosting as the whole cream top, and icing is the fine details, like the writing on top. 	b	d	y	y	n	y	n	y	n	n	y	n
32	f	White	17	Cincinnati,oH	Cincinnati,oH	l	p	s		Sub	d	2 (f,i)		b	d	y	y	y	n	n	y	n	n	y	n
33	f	What	30	Chalfont,pA	Philadelphia,pA	o	s	z (g,h)	Grinder is hot,hoagie and sub are cold	Hoagie	w	2 (f,i)	No	b	d	y	y	y	y	n	y	n	n	y	n
34	m	White	19	St Augustine Florida	St Augustine,fL	2	c	s		Other	w	2 (f,i)	No	b	s	y	y	y	y	y	y	n	y	y	n
35	f	white	31	Mansfield, MA & Sharon, MA	Boston, MA	f	s	s		Sub	b	2 (f,i)	Yes, icing is more like a glaze,frosting is thicker	b	d	y	n	y	n	n	y	n	n	n	n
